Date,Total Equity,CF to RWA,NPL to TL,TLLP to TNLP,Base Rate,ROE
2080-01-10,5617881116,12.54,3.89,88.67,12.66,4.79
2079-10-08,5762885709,12.77,3.52,95.12,12.76,1.22
2079-07-07,5764807422,12.96,2.5,101.06,12.11,6.95
2079-04-21,5664709083,13.3,1.42,150.66,11.13,12.38
2079-01-07,5487952816,14.96,1.37,154.65,10.16,12.53
2078-10-07,5349425375,14.81,1.47,145.44,9.23,12.86
2078-07-15,5497003069,14.68,0.68,267.97,8.416,15.85
2078-04-30,5326570764,12.83,0.8,229.4,8.42,13.92
2078-01-09,5133955556,12.68,0.58,261.9,8.57,15.65
2077-10-14,4872162356,13.51,0.68,232.22,8.82,12.54
2077-07-29,4574764135,12.85,0.65,314.87,9.86,11.5
2077-04-21,4415731684,13.85,0.68,315.57,10.58,9.26
2077-01-31,4417310177,15.49,0.79,200.46,11.16,13.16
2076-10-29,4277899796,17.01,0.8,194.74,11.23,13.13
2076-08-01,4063496926,16.54,0.83,182.19,11.24,13.58
